datetime,pred,kWh,seasonality
2023-07-20 20:00:00,5307836.715520039,5552345.140125,168
2023-07-20 21:00:00,5208944.976594001,5488427.429375,168
2023-07-20 22:00:00,5158529.187505931,5399016.4305,168
2023-07-20 23:00:00,4798936.351572305,5040863.366625,168
2023-07-21 00:00:00,4570766.110678315,4803048.9120000005,168
2023-07-21 01:00:00,4382113.331937641,4626129.610874999,168
2023-07-21 02:00:00,4246312.952120051,4488614.233124999,168
2023-07-21 03:00:00,4091717.499725774,4318441.419625,168
2023-07-21 04:00:00,3986125.166154906,4186184.0519999997,168
2023-07-21 05:00:00,4282251.457494006,4452342.95275,168
2023-07-21 06:00:00,4926590.085542202,5030175.260500001,168
2023-07-21 07:00:00,5531776.159200951,5698624.089375,168
2023-07-21 08:00:00,5828893.783874378,6111271.679874999,168
2023-07-21 09:00:00,5878089.607588127,6199645.8936250005,168
2023-07-21 10:00:00,5959095.725307077,6363770.1077499995,168
2023-07-21 11:00:00,6049287.317295462,6407048.137250001,168
2023-07-21 12:00:00,5712016.782171071,6056087.959000001,168
2023-07-21 13:00:00,5680063.990492433,5907754.1035,168
2023-07-21 14:00:00,5581500.405958757,5772640.505125,168
2023-07-21 15:00:00,5462653.571134523,5679076.828125,168
2023-07-21 16:00:00,5326953.2048510015,5591415.482124999,168
2023-07-21 17:00:00,5375032.472409263,5607067.9665,168
2023-07-21 18:00:00,5462683.6531277895,5649459.850125,168
2023-07-21 19:00:00,5355075.0650010705,5513202.33125,168
2023-07-21 20:00:00,5141307.307622626,5330141.221125,168
2023-07-21 21:00:00,5009942.588749513,5221543.420375001,168
2023-07-21 22:00:00,4953549.518772587,5145644.1885,168
2023-07-21 23:00:00,4657676.292974919,4870804.537625,168
2023-07-22 00:00:00,4474976.038013443,4682545.364,168
2023-07-22 01:00:00,4285027.830252767,4523004.196374999,168
2023-07-22 02:00:00,4046404.3851398826,4375085.114375,168
2023-07-22 03:00:00,3812375.059028372,4180718.943875,168
2023-07-22 04:00:00,3603390.412903726,3970520.6085,168
2023-07-22 05:00:00,3651488.3609625995,4005197.48575,168
2023-07-22 06:00:00,3840512.8336812854,4145745.5415,168
2023-07-22 07:00:00,4014619.9643111825,4283440.0035,168
2023-07-22 08:00:00,4326299.689504474,4526781.079125,168
2023-07-22 09:00:00,4530705.741666302,4700417.66625,168
2023-07-22 10:00:00,4646260.141925544,4780219.24675,168
2023-07-22 11:00:00,4680557.187500507,4829333.092375,168
